entry_idx,entry_time,entry_price,entry_raw,stop_loss,div_low,entry_rsi,sl_pct,exit_idx,exit_time,exit_price,exit_raw,exit_reason,bars_held,hours_held,pnl_pct,win,year
119,2019-01-20 20:00:00+00:00,3543.1732080000006,3539.28,3462.3541800000003,3465.82,39.03200464577902,2.2809787514062827,128,2019-01-22 08:00:00+00:00,3458.5455904020005,3535.15,stop_loss,9,36,-2.38846967477973,False,2019
327,2019-02-24 12:00:00+00:00,3782.8065150000007,3778.65,3432.60396,3436.04,34.84078673350518,9.257744312624478,357,2019-03-01 12:00:00+00:00,3824.328606,3828.54,time_stop,30,120,1.0976530476869857,True,2019
500,2019-03-25 12:00:00+00:00,3967.2792120000004,3962.92,3798.65754,3802.46,38.76776556136295,4.250310174538837,523,2019-03-29 08:00:00+00:00,4118.894227000001,4123.43,take_profit,23,92,3.82163711950003,True,2019
688,2019-04-25 20:00:00+00:00,5225.64189,5219.9,5000.83416,5005.84,36.63593718516585,4.302011785962615,718,2019-04-30 20:00:00+00:00,5314.957109000001,5320.81,time_stop,30,120,1.7091722104210432,True,2019
1082,2019-06-30 20:00:00+00:00,10866.039510000002,10854.1,7588.264139999999,7595.86,38.22118272435469,30.16531797977976,1112,2019-07-05 20:00:00+00:00,10958.662197,10970.73,time_stop,30,120,0.852405210884396,True,2019
1503,2019-09-09 04:00:00+00:00,10158.522096000002,10147.36,9862.60752,9872.48,36.39305194908094,2.912968768523145,1533,2019-09-14 04:00:00+00:00,10307.6491,10319.0,time_stop,30,120,1.467999011969645,True,2019
1665,2019-10-06 04:00:00+00:00,7971.929487000001,7963.17,7786.62558,7794.42,35.679413236677036,2.3244549177483376,1668,2019-10-06 16:00:00+00:00,7778.060291862,7892.11,stop_loss,3,12,-2.431898017338816,False,2019
1864,2019-11-08 08:00:00+00:00,9036.198897000002,9026.27,7893.77832,7901.68,34.379870798198766,12.64271172007162,1894,2019-11-13 08:00:00+00:00,8763.419623,8773.07,time_stop,30,120,-3.01873915248329,False,2019
2310,2020-01-21 16:00:00+00:00,8541.245046000002,8531.86,7049.913030000001,7056.97,38.831003984944445,17.460358624161184,2340,2020-01-26 16:00:00+00:00,8559.673990000001,8569.1,time_stop,30,120,0.21576414095073737,True,2020
2587,2020-03-08 00:00:00+00:00,8757.202338000001,8747.58,8515.08639,8523.61,38.328127529443215,2.764763661442312,2590,2020-03-08 12:00:00+00:00,8505.719794971,8400.83,stop_loss,3,12,-2.8717224214147214,False,2020
2707,2020-03-28 00:00:00+00:00,6123.648612000001,6116.92,4561.02441,4565.59,35.77746368257053,25.517861997141004,2737,2020-04-02 00:00:00+00:00,6598.783345,6606.05,time_stop,30,120,7.759013671504881,True,2020
2849,2020-04-20 16:00:00+00:00,6776.325768000001,6768.88,6614.618759999999,6621.24,36.010905864005366,2.386352332168473,2866,2020-04-23 12:00:00+00:00,7521.81689,7530.1,take_profit,17,68,11.001406182690468,True,2020
3136,2020-06-07 12:00:00+00:00,9510.480033000002,9500.03,8711.61966,8720.34,39.125120897400244,8.399790233805975,3166,2020-06-12 12:00:00+00:00,9407.450409,9417.81,time_stop,30,120,-1.0833272730977248,False,2020
3527,2020-08-11 16:00:00+00:00,11399.575755,11387.05,9039.87108,9048.92,38.07335385098339,20.699934152944266,3557,2020-08-16 16:00:00+00:00,11805.299869999999,11818.3,time_stop,30,120,3.5591159155378507,True,2020
3771,2020-09-21 08:00:00+00:00,10648.170117,10636.47,9973.00701,9982.99,36.458437124501934,6.340649140476165,3801,2020-09-26 08:00:00+00:00,10698.159066,10709.94,time_stop,30,120,0.46946046551409076,True,2020
4699,2021-02-23 00:00:00+00:00,51963.45699600001,51906.36,31274.98371,31306.29,39.07860336426849,39.813504493345285,4729,2021-02-28 00:00:00+00:00,44580.077913,44629.17,time_stop,30,120,-14.208791157925383,False,2021
5122,2021-05-04 12:00:00+00:00,53858.50926300001,53799.33,49017.70323,49066.77,36.32542975504226,8.988005979448022,5152,2021-05-09 12:00:00+00:00,57316.462462,57379.58,time_stop,30,120,6.4204398642269105,True,2021
5665,2021-08-03 00:00:00+00:00,38698.261314,38655.74,36026.05788,36062.12,38.37167167117312,6.905228667297439,5689,2021-08-07 00:00:00+00:00,43643.798954,43691.86,take_profit,24,96,12.779741187521598,True,2021
5953,2021-09-20 00:00:00+00:00,45592.85703600001,45542.76,44316.94869,44361.31,32.59115608238801,2.798482983842309,5955,2021-09-20 08:00:00+00:00,44268.200046441,43739.75,stop_loss,2,8,-2.905404652560074,False,2021
6148,2021-10-22 12:00:00+00:00,60757.70003400001,60690.94,40985.51346,41026.54,38.13653683767056,32.54268440532721,6178,2021-10-27 12:00:00+00:00,58754.438946,58819.14,time_stop,30,120,-3.2971312062158074,False,2021
6274,2021-11-12 12:00:00+00:00,63225.411534000006,63155.94,59863.05702,59922.98,37.38402810971507,5.318042907782215,6297,2021-11-16 08:00:00+00:00,59797.207657278,60574.49,stop_loss,23,92,-5.422193060583657,False,2021
6548,2021-12-28 04:00:00+00:00,49281.279843000004,49227.13,46656.04725,46702.75,39.953324009149256,5.327038180346473,6556,2021-12-29 12:00:00+00:00,46604.725598025005,47959.36,stop_loss,8,32,-5.4311784383480886,False,2021
6673,2022-01-18 00:00:00+00:00,42086.784594000004,42040.54,40790.23893,40831.07,38.063139975291705,3.08064794330913,6690,2022-01-20 20:00:00+00:00,40745.369667177,40680.91,stop_loss,17,68,-3.1872592305714855,False,2022
