entry_idx,entry_time,entry_price,stop_loss,div_high,div_type,entry_rsi,sl_pct,exit_idx,exit_time,exit_price,exit_reason,bars_held,pnl_pct,win,year
882,2019-05-28 12:00:00+00:00,8678.959498,8917.228319999998,8908.32,regular,68.80577481906217,2.745361607631714,894,2019-05-30 12:00:00+00:00,8946.614749999999,stop_loss,12,-3.0839555370857274,False,2019
1695,2019-10-11 04:00:00+00:00,8382.657386,8652.643999999998,8644.0,hidden,52.198953433305995,3.2207759612233016,1727,2019-10-16 12:00:00+00:00,7957.921889999999,take_profit,32,5.066835926151044,True,2019
2666,2020-03-21 04:00:00+00:00,6147.469303999999,6906.9,6900.0,hidden,56.71524755966853,12.353550029210531,2691,2020-03-25 08:00:00+00:00,6911.044139999999,stop_loss,25,-12.420962159228049,False,2020
3155,2020-06-10 16:00:00+00:00,9846.268692,10390.38,10380.0,regular,61.84027008440878,5.5260660156683,3161,2020-06-11 16:00:00+00:00,9286.498558,take_profit,6,5.685099112263798,True,2020
3748,2020-09-17 12:00:00+00:00,10831.807013999998,11104.092999999999,11093.0,hidden,58.448975400467425,2.513763268197762,3759,2020-09-19 08:00:00+00:00,11146.684,stop_loss,11,-2.906966359288214,False,2020
5006,2021-04-15 04:00:00+00:00,62804.854464,64852.76798,64787.98,regular,58.261861802092746,3.260756725698446,5023,2021-04-18 00:00:00+00:00,55047.468676,take_profit,17,12.351570359018291,True,2021
5340,2021-06-09 20:00:00+00:00,37365.61717,39489.45,39450.0,hidden,62.29099780901839,5.6839227901343925,5365,2021-06-14 00:00:00+00:00,39513.14367,stop_loss,25,-5.747333143808475,False,2021
5626,2021-07-27 12:00:00+00:00,38186.654252,40590.549999999996,40550.0,hidden,67.24727358888802,6.295120101741023,5631,2021-07-28 08:00:00+00:00,40775.290504,stop_loss,5,-6.778903003434554,False,2021
5859,2021-09-04 08:00:00+00:00,49872.998236,51050.99999999999,51000.0,regular,57.35795161374982,2.3620030992034327,5868,2021-09-05 20:00:00+00:00,51787.93412799999,stop_loss,9,-3.8396245658592254,False,2021
6935,2022-03-02 16:00:00+00:00,43678.197347999994,45445.399999999994,45400.0,hidden,67.60416192990239,4.045960592009,6948,2022-03-04 20:00:00+00:00,39172.149196,take_profit,13,10.316470059647106,True,2022
7886,2022-08-08 04:00:00+00:00,23793.395392,24692.667999999998,24668.0,regular,66.05005872543482,3.779505165968703,7904,2022-08-11 04:00:00+00:00,24707.483600799995,stop_loss,18,-3.841772869068271,False,2022
7914,2022-08-12 20:00:00+00:00,24389.037792,24943.45854,24918.54,regular,60.219584690627215,2.273237479593637,7922,2022-08-14 04:00:00+00:00,24958.424615123997,stop_loss,8,-2.3346014220813815,False,2022
8430,2022-11-06 20:00:00+00:00,20893.036652000003,21502.13065,21480.65,regular,48.46180283483729,2.9152966519191486,8438,2022-11-08 04:00:00+00:00,19808.77814,take_profit,8,5.189568802561846,True,2022
9929,2023-07-14 16:00:00+00:00,30097.100897999997,31836.004199999996,31804.2,regular,39.80768516121617,5.77764385976309,9988,2023-07-24 12:00:00+00:00,29111.236267999997,take_profit,59,3.2756132670090907,True,2023
10115,2023-08-14 16:00:00+00:00,29342.923676,30190.159999999996,30160.0,hidden,46.65386235754674,2.887361645877723,10128,2023-08-16 20:00:00+00:00,28747.748305999998,take_profit,13,2.028343789364123,True,2023
10210,2023-08-30 12:00:00+00:00,27185.309022,28170.992849999995,28142.85,hidden,62.74081728170911,3.625795929714533,10282,2023-09-11 12:00:00+00:00,25131.039582,take_profit,72,7.556542536770726,True,2023
10337,2023-09-20 16:00:00+00:00,26914.451634,27511.053569999996,27483.57,hidden,51.615886305722185,2.216660194727248,10362,2023-09-24 20:00:00+00:00,26264.129028,take_profit,25,2.4162580566139935,True,2023
10699,2023-11-20 00:00:00+00:00,37092.07139599999,38017.979999999996,37980.0,regular,57.89619499560821,2.496243992725232,10725,2023-11-24 08:00:00+00:00,38040.79078799999,stop_loss,26,-2.557741739120854,False,2023
10965,2024-01-03 08:00:00+00:00,43676.65827199999,45925.50962999999,45879.63,regular,48.78238621741037,5.148863138738986,10997,2024-01-08 16:00:00+00:00,47007.53760999999,stop_loss,32,-7.6262229524444685,False,2024
11136,2024-01-31 20:00:00+00:00,42554.452,43803.759999999995,43760.0,hidden,49.48270882100103,2.9357868361223343,11178,2024-02-07 20:00:00+00:00,44376.20976,stop_loss,42,-4.2810039241017614,False,2024
11751,2024-05-13 08:00:00+00:00,62700.3572,65565.5,65500.0,hidden,60.77301453381101,4.569579708869667,11765,2024-05-15 16:00:00+00:00,66045.83373799999,stop_loss,14,-5.335657861292038,False,2024
12310,2024-08-14 12:00:00+00:00,59400.028586,61919.85799999999,61858.0,hidden,47.044249436794104,4.242135019096424,12364,2024-08-23 12:00:00+00:00,61957.009914799986,stop_loss,54,-4.30468030010787,False,2024
12995,2024-12-06 16:00:00+00:00,101379.126006,104192.08799999999,104088.0,regular,61.91273396354736,2.7746954474962635,13050,2024-12-15 20:00:00+00:00,104526.668394,stop_loss,55,-3.1047243273863927,False,2024
13260,2025-01-19 20:00:00+00:00,101270.771058,105971.08522,105865.22,hidden,46.37178632901831,4.641333439939962,13262,2025-01-20 04:00:00+00:00,107184.92238999999,stop_loss,2,-5.839939076412117,False,2025
